CODIGO_SINIESTRO;LOCALIDAD;GRAVEDAD;CLASE;TIPO DE VEHICULO;SERVICIO;CONDICION;ESTADO;EDAD;SEXO;HORA
10471901;Kennedy;Con Heridos;Choque;Automovil;Particular;CONDUCTOR;ILESO;32;FEMENINO;06:00 a 8:59
10471931;Engativá;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;30;MASCULINO;00:00 a 02:59
10474421;Usaquén;Solo Daños;Choque;Automovil;Publico;CONDUCTOR;ILESO;49;MASCULINO;09:00  a 11:59
10471904;Ciudad Bolívar;Con Muertos;Atropello;Automovil;Publico;CONDUCTOR;ILESO;29;MASCULINO;15:00  a 17:59
10471906;Kennedy;Con Heridos;Choque;Motocicleta;Particular;MOTOCICLISTA;HERIDO;25;MASCULINO;18:00 a 20:59
10471986;Usaquén;Con Heridos;Atropello;Automovil;Particular;CONDUCTOR;ILESO;34;FEMENINO;03:00 a 5:59
10472107;San Cristóbal;Con Heridos;Choque;Automovil;Publico;CONDUCTOR;HERIDO;17;MASCULINO;18:00 a 20:59
10471959;Chapinero;Con Heridos;Choque;Automovil;Publico;CONDUCTOR;ILESO;43;MASCULINO;03:00 a 5:59
10471915;San Cristóbal;Solo Daños;Choque;Camioneta;Oficial;CONDUCTOR;ILESO;43;MASCULINO;12:00 a 14:59
10471917;Tunjuelito;Solo Daños;Choque;Automovil;Publico;CONDUCTOR;ILESO;29;MASCULINO;18:00 a 20:59
10471920;San Cristóbal;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;31;FEMENINO;15:00  a 17:59
10471922;Teusaquillo;Con Heridos;Choque;Automovil;Particular;PASAJERO;HERIDO;53;FEMENINO;21:00 a 24:00
10471923;Tunjuelito;Solo Daños;Choque;Automovil;Publico;CONDUCTOR;ILESO;34;MASCULINO;00:00 a 02:59
10471928;Ciudad Bolívar;Solo Daños;Choque;Bus;Publico;CONDUCTOR;ILESO;26;MASCULINO;09:00  a 11:59
10471910;Kennedy;Solo Daños;Choque;Bus;Publico;CONDUCTOR;ILESO;30;MASCULINO;00:00 a 02:59
10471911;Barrios Unidos;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;41;FEMENINO;21:00 a 24:00
10471980;Barrios Unidos;Con Heridos;Choque;Camioneta;Particular;CONDUCTOR;ILESO;39;MASCULINO;00:00 a 02:59
10484322;Barrios Unidos;Solo Daños;Choque;Motocicleta;Particular;MOTOCICLISTA;ILESO;26;FEMENINO;12:00 a 14:59
10471925;Tunjuelito;Solo Daños;Choque;Automovil;Publico;CONDUCTOR;ILESO;25;FEMENINO;06:00 a 8:59
10471926;Engativá;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;38;MASCULINO;00:00 a 02:59
10471941;Suba;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;37;MASCULINO;06:00 a 8:59
10471949;Suba;Solo Daños;Choque;Camioneta;Publico;CONDUCTOR;ILESO;38;MASCULINO;15:00  a 17:59
10471956;San Cristóbal;Con Heridos;Choque;Bus;Publico;CONDUCTOR;ILESO;50;MASCULINO;18:00 a 20:59
10472033;Usaquén;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;46;FEMENINO;06:00 a 8:59
10471929;Fontibón;Solo Daños;Choque;Camioneta;Particular;CONDUCTOR;ILESO;39;MASCULINO;00:00 a 02:59
10471932;Suba;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;81;FEMENINO;06:00 a 8:59
10471946;Kennedy;Solo Daños;Choque;Camioneta;Particular;CONDUCTOR;ILESO;42;MASCULINO;09:00  a 11:59
10471965;Kennedy;Con Heridos;Choque;Motocicleta;Particular;MOTOCICLISTA;HERIDO;34;MASCULINO;06:00 a 8:59
10471903;Kennedy;Con Muertos;Atropello;Motocicleta;Particular;MOTOCICLISTA;HERIDO;24;MASCULINO;00:00 a 02:59
10472106;San Cristóbal;Con Heridos;Choque;Automovil;Particular;CONDUCTOR;ILESO;37;MASCULINO;03:00 a 5:59
10471955;Fontibón;Solo Daños;Choque;Motocicleta;Particular;MOTOCICLISTA;ILESO;40;MASCULINO;03:00 a 5:59
10471960;Barrios Unidos;Con Heridos;Choque;Automovil;Particular;CONDUCTOR;ILESO;48;FEMENINO;06:00 a 8:59
10471971;Kennedy;Con Heridos;Atropello;Motocicleta;Particular;MOTOCICLISTA;HERIDO;41;MASCULINO;15:00  a 17:59
10471979;Suba;Con Heridos;Choque;Automovil;Particular;CONDUCTOR;ILESO;31;MASCULINO;00:00 a 02:59
10471924;Tunjuelito;Con Heridos;Choque;Automovil;Particular;CONDUCTOR;ILESO;42;MASCULINO;18:00 a 20:59
10471937;Chapinero;Solo Daños;Choque;Camioneta;Particular;CONDUCTOR;ILESO;62;MASCULINO;03:00 a 5:59
10471947;Engativá;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;19;MASCULINO;21:00 a 24:00
10471948;Fontibón;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;51;FEMENINO;15:00  a 17:59
10471950;Usaquén;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;39;MASCULINO;12:00 a 14:59
10471969;Tunjuelito;Con Heridos;Choque;Automovil;Particular;CONDUCTOR;ILESO;37;MASCULINO;09:00  a 11:59
10471984;Suba;Con Heridos;Atropello;Motocicleta;Particular;MOTOCICLISTA;HERIDO;47;MASCULINO;15:00  a 17:59
10471908;Teusaquillo;Con Heridos;Choque;Motocicleta;Particular;MOTOCICLISTA;HERIDO;30;MASCULINO;12:00 a 14:59
10471912;Los Mártires;Con Heridos;Choque;Motocicleta;Particular;PASAJERO;HERIDO;21;FEMENINO;06:00 a 8:59
10471968;Usaquén;Con Heridos;Choque;Motocicleta;Particular;MOTOCICLISTA;HERIDO;27;MASCULINO;18:00 a 20:59
10471972;Chapinero;Con Heridos;Atropello;Motocicleta;Particular;MOTOCICLISTA;HERIDO;21;MASCULINO;03:00 a 5:59
10471973;Kennedy;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;40;MASCULINO;06:00 a 8:59
10472139;Fontibón;Con Heridos;Atropello;Automovil;Publico;CONDUCTOR;ILESO;63;MASCULINO;03:00 a 5:59
10472196;Fontibón;Solo Daños;Choque;Automovil;Publico;CONDUCTOR;ILESO;31;MASCULINO;00:00 a 02:59
10472203;Teusaquillo;Solo Daños;Choque;Camioneta;Particular;CONDUCTOR;ILESO;53;MASCULINO;15:00  a 17:59
