 ID ; X1 ; X2 ; X3 ; X4 ; X5 ; X6 ; X7 ; X8 ; X9 ; X11 ; X12 
 1 ; 2 ;1; 8,5 ; 2,5 ; 5,9 ; 4,8 ; 6,0 ; 6,8 ; 3,7 ; 8,0 ; 65,1 
 2 ; 3 ;0; 8,2 ; 5,1 ; 7,2 ; 3,4 ; 3,1 ; 5,3 ; 4,9 ; 6,5 ; 67,1 
 3 ; 3 ;1; 9,2 ; 5,6 ; 5,6 ; 5,4 ; 5,8 ; 4,5 ; 4,5 ; 8,4 ; 72,1 
 4 ; 1 ;1; 6,4 ; 7,0 ; 3,7 ; 4,7 ; 4,5 ; 8,8 ; 3,0 ; 6,0 ; 40,1 
 5 ; 2 ;1; 9,0 ; 5,2 ; 4,6 ; 2,2 ; 4,5 ; 6,8 ; 3,5 ; 6,6 ; 57,1 
 6 ; 1 ;0; 6,5 ; 3,1 ; 4,1 ; 4,0 ; 3,7 ; 8,5 ; 3,3 ; 6,3 ; 50,1 
 7 ; 1 ;1; 6,9 ; 5,0 ; 2,6 ; 2,1 ; 5,4 ; 8,9 ; 2,0 ; 7,8 ; 41,1 
 8 ; 2 ;1; 6,2 ; 3,9 ; 4,8 ; 4,6 ; 5,1 ; 6,9 ; 3,7 ; 5,8 ; 56,1 
 9 ; 2 ;1; 5,8 ; 5,1 ; 6,7 ; 3,7 ; 5,8 ; 9,3 ; 4,6 ; 7,5 ; 56,1 
 10 ; 1 ;1; 6,4 ; 5,1 ; 6,1 ; 4,7 ; 5,7 ; 8,4 ; 4,4 ; 5,9 ; 59,1 
 11 ; 3 ;1; 8,7 ; 4,6 ; 4,8 ; 2,7 ; 4,6 ; 6,8 ; 4,0 ; 7,0 ; 68,1 
 12 ; 1 ;1; 6,1 ; 6,3 ; 3,9 ; 4,4 ; 6,4 ; 8,2 ; 3,2 ; 6,3 ; 53,1 
 13 ; 1 ;0; 9,5 ; 4,6 ; 6,9 ; 5,0 ; 6,6 ; 7,6 ; 4,4 ; 8,4 ; 58,1 
 14 ; 3 ;0; 9,2 ; 5,7 ; 5,5 ; 2,4 ; 4,8 ; 7,1 ; 4,2 ; 6,9 ; 72,1 
 15 ; 2 ;1; 6,3 ; 4,7 ; 6,9 ; 4,5 ; 5,9 ; 8,8 ; 5,2 ; 7,0 ; 62,1 
 16 ; 3 ;0; 8,7 ; 4,0 ; 6,8 ; 3,2 ; 3,8 ; 4,9 ; 4,5 ; 6,4 ; 71,1 
 17 ; 2 ;0; 5,7 ; 6,7 ; 6,0 ; 3,3 ; 5,1 ; 6,2 ; 4,5 ; 7,5 ; 50,1 
 18 ; 2 ;1; 5,9 ; 5,5 ; 7,2 ; 3,5 ; 5,5 ; 8,4 ; 4,8 ; 6,9 ; 58,1 
 19 ; 2 ;1; 5,6 ; 5,1 ; 6,4 ; 3,7 ; 5,6 ; 9,1 ; 4,5 ; 7,5 ; 55,1 
 20 ; 3 ;1; 9,1 ; 3,6 ; 6,4 ; 5,3 ; 7,1 ; 8,4 ; 4,4 ; 8,5 ; 67,1 
 21 ; 1 ;0; 5,2 ; 7,1 ; 5,2 ; 3,9 ; 5,0 ; 8,4 ; 3,3 ; 5,5 ; 50,1 
 22 ; 3 ;1; 9,6 ; 6,8 ; 5,9 ; 5,4 ; 7,8 ; 4,5 ; 4,3 ; 9,6 ; 70,1 
 23 ; 2 ;0; 8,6 ; 7,4 ; 5,1 ; 3,5 ; 4,7 ; 3,7 ; 4,0 ; 7,1 ; 60,1 
 24 ; 3 ;1; 9,3 ; 2,6 ; 7,2 ; 2,2 ; 4,5 ; 6,2 ; 4,5 ; 8,1 ; 65,1 
 25 ; 1 ;0; 6,0 ; 5,3 ; 4,7 ; 3,5 ; 5,3 ; 8,0 ; 4,0 ; 4,9 ; 55,1 
 26 ; 2 ;1; 6,4 ; 6,6 ; 6,1 ; 4,0 ; 5,3 ; 7,1 ; 3,9 ; 6,8 ; 58,1 
 27 ; 3 ;0; 8,5 ; 7,2 ; 5,8 ; 4,1 ; 3,7 ; 4,8 ; 4,4 ; 7,1 ; 70,1 
